Company Name,Website,Address,Phone Number,Customer Name,Position,Customer Phone Number,Email Address,Specialise,,,,,,,,,
Công Ty Cổ Phần Hàng Hải Sài Gòn,www.saigonmaritime.vn,"422 Nguyễn Tất Thành, P. 18, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 38261627,Ông Nguyễn Mạnh Đông,Tp. Khai thác container,0908 370 376,dongnm@saigonmaritime.vn,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Vận Tải Liên Nam Việt,www.vantailiennamviet.com,"156/8 Ngô Gia Tự, P. 9, Q. 10,TP. Hồ Chí Minh, Việt Nam",(028) 37163515,Ông Lê Văn Đệ,,0903 739 267,vtliennamviet@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Biển Đại Dương Xanh,,"Lô F4 Đường K1, KCN Cát Lái, P. Thạnh Mỹ Lợi, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",902660449,Mr. Hiền,,0902 660 449,vantaibiennoidia2010@gmail.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần Nguyễn Ngọc Logistics,www.nguyenngoc.vn,"90A Nguyễn Văn Quá, P. Đông Hưng Thuận, Q. 12,TP. Hồ Chí Minh, Việt Nam",1900636163,Ông Nguyễn Tấn Dũng,Giám Đốc,0947 414 000,ntdung@nguyenngoc.vn,vận tải container,,,,,,,,,
Công Ty Cổ Phần Lime Logistics,www.limelogistics.net,"Phòng D.1403, Tòa Nhà The Manor Officetel, 91 Nguyễn Hữu Cảnh, P. 22, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 62586380,,,,info@limelogistics.net,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Và Dịch Vụ Tín Lập Thành,www.tinlapthanhco.com.vn,"12/2 Đường 904, P. Hiệp Phú, Q. 9,TP. Hồ Chí Minh, Việt Nam",909058225,Ông Nguyễn Trường Vũ,Giám Đốc,0915  555 463,info@tinlapthanhco.com.vn,vận tải container,,,,,,,,,
Công Ty Cổ Phần Dịch Vụ TM Vận Tải Du Lịch Hoàng Phát,www.vantaihoangphat.com,"49 Ấp 5, Đường Lê Văn Khương, X. Đông Thạnh, H. Hóc Môn,TP. Hồ Chí Minh, Việt Nam",903194168,Hotline,,0903 194 168,congtyhoangphathcm@yahoo.com.vn,vận tải container,,,,,,,,,
Công Ty TNHH Dịch Vụ Vận Tải Hải Nguyên,www.vantaihainguyen.com,"Số 2460/3B An Phú Đông, KP. 3, P. An Phú Đông, Q. 12,TP. Hồ Chí Minh, Việt Nam",(028) 66501177,Ms. Thoa,Sales,0938 460 079,hainguyen.nvc@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Hàng Hải AMASIS,www.amss.com.vn,"Số 37 Đường D4, KDC Him Lam, P. Tân Hưng, Q. 7,TP. Hồ Chí Minh, Việt Nam",(028) 62904666,Ms. Hà,,0938 118 005,vincent@amss.com.vn,vận tải container,,,,,,,,,
Chi Nhánh Tại Thành Phố Hồ Chí Minh - Công Ty TNHH Tiếp Vận Đông Nam,www.dnlogis.vn,"31 Hoàng Diệu, P. 12, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 39435512,Ông Thái Hoàng Khanh,Kinh Doanh,0908 679 201,dnlogis.hcm@vnn.vn,vận tải container,,,,,,,,,
Công Ty TNHH Một Thành Viên Dịch Vụ Vận Tải Hoàng Minh Huy,www.vantainamtrungbac.com,"666/10/20 Đường Số 3/2, P. 14, Q. 10,TP. Hồ Chí Minh, Việt Nam",967557688,,,0903 869 008,vanchuyenhoangminhhuy@gmail.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần VW-Waterfront Việt Nam,www.vww.com.vn,"Tòa Nhà Sky Center, Số 5B Phổ Quang, P. 2, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 38215685,Hotline,,(028) 38215685,vww-hcm@vww.com.vn,vận tải container,,,,,,,,,
Công Ty TNHH Một Thành Viên Thương Mại Dịch Vụ Vận Tải Bá Sơn,,"D15/14/1C Võ Văn Vân, Ấp 4, X. Vĩnh Lộc B, H. Bình Chánh,TP. Hồ Chí Minh, Việt Nam",985599307,Ông Huỳnh Bá Hòa,,0985 599 307,vantaibason@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Dịch Vụ Vận Tải Biển Vestal,www.vestalshipping.com.vn,"157 Đào Duy Anh, Phường 9, Quận Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",913792345,Phan Thị Thơ (Ms.Amy Tho),,913792345,support@vestalshipping.com.vn,vận tải container,,,,,,,,,
Công Ty TNHH Dịch Vụ Vận Tải Và Thương Mại Hiệp Long Phát,www.hieplongphat.com,"177B Lầu 2 Lương Nhữ Học, P. 11, Q. 5,TP. Hồ Chí Minh, Việt Nam",908800118,Mr. Trần Phi Lân,,0908 800 118,vantaihieplongphat@gmail.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần Cơ Khí Vận Tải Thương Mại Và Dịch Vụ Phú Nam An,,"Số 5, Đường 85, Tổ 7, KP. 3, P. Hiệp Phú, Q. 9,TP. Hồ Chí Minh, Việt Nam",913636195,Ms Nguyễn Thị Thanh Hương,Kế Toán,0909 473 292,phunamanhcm@gmail.com,vận tải container,,,,,,,,,
Giao Nhận Xuất Nhập Khẩu Việt Mỹ - Công Ty TNHH Giao Nhận Xuất Nhập Khẩu Việt Mỹ,www.vietmylogistic.com,"85/31 Nguyễn Thế Truyện, Phường Tân Sơn Nhì, Quận Tân Phú,TP. Hồ Chí Minh, Việt Nam",(028) 38103262,,TP Xuất Nhập Khẩu,0917 454 046(),tansinh@vietmylogistic.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần Thương Mại Và Vận Tải Biển Châu Khang,www.chaukhang.vn,"359 Huỳnh Tấn Phát, P. Tân Thuân Đông, Q. 7,TP. Hồ Chí Minh, Việt Nam",(028) 37738287,Mr. Nguyễn Trần Hùng,,0908 449 749,hungchaukhang@vnn.vn,vận tải container,,,,,,,,,
Công Ty TNHH Hồng Ngọc Trân,,"0.04 Lô C1, Chung Cư 319, Lý Thường Kiệt, P. 15, Q. 11,TP. Hồ Chí Minh, Việt Nam",903771599,Bà Thái Ngọc Hồng,,0903 771 599,hongngoctran244@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Hải Long,,"31/32/70 Ung Văn Khiêm, P. 25, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35112959,,,,hailongtrans@yahoo.com.vn,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Tiến Long,,"Số 80 Đường Số 2, KDC Vĩnh Lộc, P. Bình Hưng Hòa B, Q. Bình Tân,TP. Hồ Chí Minh, Việt Nam",982793939,Ông Phan Văn Thân,,982793939,phanthan@tienlongvn.com,vận tải container,,,,,,,,,
Công Ty TNHH Giao Nhận Vận Tải Biển Mỏ Neo Vàng,www.mnvlogistics.com,"22/19 Đường 109, P. Phước Long B, Q. 9,TP. Hồ Chí Minh, Việt Nam",908262586,Ms. Lê Thị Kim Loan,,0908 262 586,ceo@mnvlogistics.com,vận tải container,,,,,,,,,
Công Ty TNHH Tagi Logistics,www.tagi.com.vn,"Tầng 6, Tòa Nhà Miss Áo Dài, 21 Nguyễn Trung Ngạn, P. Bến Nghé, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39102186,Hotline,,,info@tagi.com.vn,vận tải container,,,,,,,,,
FirstHUB Logistics - Công Ty TNHH FirstHUB Logistics,www.firsthublogistics.com,"Số 5 Sông Đà, Phường 2, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",0789 155 479,Hotline,,0789 155 479(),sales.vn@firsthublogistics.com,vận tải container,,,,,,,,,
Công Ty TNHH Sản Xuất Thương Mại Và Dịch vụ Vận Tải Trường Thịnh,www.vanchuyentruongthinh.com,"654, Hồ Học Lãm, P. Bình Trị Đông B, Q. Bình Tân,TP. Hồ Chí Minh, Việt Nam",942269289,Hotline,,0932 127 472,vanchuyentruongthinh@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Một Thành Viên Dịch Vụ Vận Tải Nhật Hồng,www.nhathong247.com,"Số 2252/16, Quốc Lộ. 1A, P. Tân Chánh Hiệp, Q. 12,TP. Hồ Chí Minh, Việt Nam",0909 312 083,,,0909.782.083,chuyenhangnambac@gmail.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần Thuận Nam Phát,,"1/6 Xô Viết Nghệ Tĩnh, P. 27, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",972976940,Ông Nguyễn Ngọc Hưng,Tp. Kinh doanh,0972 976 940,hung.nguyen@thuannamphat.com.vn,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Thiên Hải Vận,,"247 Đường Âu Cơ, P. 5, Q. 11,TP. Hồ Chí Minh, Việt Nam",(028) 38650048,Ông Trương Len Kiên,,0909 278 200,thienhaivan@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại XLC,,"158 Đường Hoa Lan, Phường 2, Q. Phú Nhuận,TP. Hồ Chí Minh, Việt Nam",(028) 35171879,,,0903 929 198,xlctradinq.co@qmail.com,vận tải container,,,,,,,,,
Vận Chuyển Quốc Tế MPI - Công Ty Giao Nhận Vận Chuyển Quốc Tế MPI,www.mpivn.com,"561A Điện Biên Phủ, Phường 25, Quận Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",Hotline | Zalo: 0908 140 826,Ms. Minh,,0908.140.826,minh.sales@mpivn.com,vận tải container,,,,,,,,,
Công Ty TNHH Vận Tải Đa Phương Thức AVT,www.avttrans.vn,"477/22 Đường Thống Nhất, P. 16, Q. Gò Vấp,TP. Hồ Chí Minh, Việt Nam",868678988,Ms. Kim Ly,,0967 704 451,docs@avttrans.vn,vận tải container,,,,,,,,,
Công Ty Cổ Phần Vận Tải Và Giao Nhận Đường Sắt Việt,www.duongsatviet.vn,"93 đường HT 43, P. Hiệp thành, Q. 12,TP. Hồ Chí Minh, Việt Nam",(028) 66784784,Mr. Phạm Huy Quân,,0903 049 078,duongsatviet@gmail.com,vận tải container,,,,,,,,,
Vận Tải Vạn Cát - Công Ty TNHH Dịch Vụ Và Vận Tải Vạn Cát,www.vantaivancat.com,"Huyện Củ Chi,TP. Hồ Chí Minh, Việt Nam",Hotline: 0904 747 427,Hotline,,0904 747 427,vancat.trans@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH TM DV XNK Lộc Vừng Đỏ,www.locvungdo.com,"Số 359/12 Vườn Lài, P. Phú Thọ Hoà, Q. Tân Phú,TP. Hồ Chí Minh, Việt Nam",909589919,Hotline,,0909 589 919,congtylocvungdo6868@gmail.com,vận tải container,,,,,,,,,
Logistics Vinalink - Công Ty Cổ Phần Logistics Vinalink,,"226/2 Lê Văn Sỹ, P. 1, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",0974.318.573,,Sales and Marketing Division,0974.318.573(),nampx@vinalinklogistics.com,vận tải container,,,,,,,,,
Vận Tải Hỏa Xa Sài Gòn - Công Ty CP TM DV Vận Tải Hỏa Xa Sài Gòn,www.hoaxa.net,"Số 1, Nguyễn Thông, P. 9, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 39310739,,,0948 725 858,hoaxasg@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Và Dịch Vụ Ngô Phát,www.ngophat.com,"20/4 Nguyễn Hữu Thoại, P. 19, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35180499,Ms. Đỗ Hải Đường,,0906.922.225,info@ngophat.com,vận tải container,,,,,,,,,
Công Ty TNHH Vận Chuyển Vùng Vịnh,www.gulfshipping.com.vn,"Tầng 4, 94-96 Nguyễn Văn Thương, P. 25, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",981792624,Hotline,,098 179 2624,info@gulfshipping.com.vn,vận tải container,,,,,,,,,
Logistics Trí Việt - Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Trí Việt,www.trivietcargo.us,"Số 16, Đường Số 5, Khu Dân Cư Đông Dương 01, Khu Phố 1, P. Phú Hữu, Q. 9,TP. Hồ Chí Minh, Việt Nam",0985 225 760,,Giám Đốc,0985 225 760,info@trivietcargo.us,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Giao Nhận Vận Tải Song Nguyễn,www.songnguyensnc.com,"52/11A Nguyễn Thị Thập, P. Bình Thuận, Q. 7,TP. Hồ Chí Minh, Việt Nam",(028) 37732097,Hotline,,,dao.nguyen7@songnguyensnc.com,vận tải container,,,,,,,,,
Vận Chuyển Trans Ship - Công Ty TNHH Giải Pháp Vận Chuyển Trans Ship,www.transship.vn,"Số 10B Nguyễn Trung Trực, Phường 5, Quận Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",0973 419 383,Hotline,,0973 419 383(),info@transship.vn,vận tải container,,,,,,,,,
Công Ty TNHH Giao Nhận Vận Tải Sài Gòn,www.saigontransport.com.vn,"180/28/5 Nguyễn Hữu Cảnh, P. 22, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 22475588,,,0931 558 558,vantaisaigonvn@gmail.com,vận tải container,,,,,,,,,
Cát Tường Logistics - Công Ty TNHH Dịch Vụ Giao Nhận Và Vận Tải Cát Tường,www.logisticscattuong.com,"82-84 Thăng Long, Phường 4, Quận Tân Bình,TP. Hồ Chí Minh, Việt Nam",0938 113 821,,,938113821,dodat@ctlog.vn,vận tải container,,,,,,,,,
Công Ty Cổ Phần Thương Mại Cơ Khí Tân Thanh,www.tanthanhcontainer.com,"Số 14, Đường Số 15, KP. 4, P. Linh Trung, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",(028) 66839351,,,,cskh1@tanthanhcontainer.com,vận tải container,,,,,,,,,
Container Việt Nam - Công Ty Cổ Phần Kỹ Thuật Container Việt Nam,www.contecvn.com,"Số 254/33 Dương Đình Hội, KP. 3, P. Tăng Nhơn Phú B, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",0911 66 80 80,Mr. Nguyễn Duy Thuyết,,0911 66 80 80(),info@contecvn.com,vận tải container,,,,,,,,,
Vận Tải Big Cargo - Công Ty TNHH Dịch Vụ Vận Tải Big Cargo,www.bigcargo.vn,"417/69/38/35 Quang Trung, Phường 10, Quận Gò Vấp,TP. Hồ Chí Minh, Việt Nam",(028) 6257 0314,Mr. Nguyễn Công Vinh,,0903 317 459(),vantaibigcargo@gmail.com,vận tải container,,,,,,,,,
Vận Tải Hỏa Xa - Công Ty TNHH Thương Mại Vận Tải Hỏa Xa Việt Nam,www.vantaihoaxa.vn,"2665/13/43/7 Đường Quốc Lộ 1A, KP. 7, P. Tân Hưng Thuận,  Q. 12,TP. Hồ Chí Minh, Việt Nam",(028) 37154445,Bà Nguyễn Thị Hoa Hồng,Sales Manager,0914 238 914(),vanchuyenhoaxavn@gmail.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần Nhật Việt,www.vietsunlogistic.com,"Số 13-15 Đường B4, P. An Lợi Đông, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",(028) 38269539,Ông Chu Từ Liêm,Giám Đốc,0908 115 153,operation@vietsunlogistic.com,vận tải container,,,,,,,,,
Công Ty TNHH Liên Kết Hàng Hải,www.navilinkvn.com,"Số 36A Nguyễn Gia Trí, P. 25, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",35124904 /105,Ms. Lê Thị Hồng Lĩnh,Quản lý,0913 754 973,logs@navilinkvn.com,vận tải container,,,,,,,,,
Công Ty Cổ Phần Công Nghệ Đại Dương,www.daiduonghcm.vn,"Số 18/7 Huỳnh Tấn Phát, TT. Nhà Bè, H. Nhà Bè,TP. Hồ Chí Minh, Việt Nam",(028) 37770543,Mr. Phạm Trung Tùng,Giám Đốc,0903 840 076,cp@daiduonghcm.vn,vận tải container,,,,,,,,,
Công Ty TNHH Vận Tải Tàu Biển Hưng Thịnh,,"101/4 Điện Biên Phủ, P. 15, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 38164581,,Giám Đốc,0913.399.307,hien.hungthinhshipping@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại & Dịch Vụ Vận Tải Miền Trung,www.vantaimientrung.com,"342 Quốc Lộ 1A, P. An Phú Đông, Q. 12,TP. Hồ Chí Minh, Việt Nam",935426299,Hotline/Zalo,,0935 42 62 99(),midtransvn@gmail.com,vận tải container,,,,,,,,,
Vận Tải Tân Cường Phát - Công Ty TNHH Dịch Vụ Vận Tải Tân Cường Phát,www.vantaitancuongphat.com,"35/14/18 Nguyễn Tư Giản, P. 12, Q. Gò Vấp,TP. Hồ Chí Minh, Việt Nam",0948 175 566,Ông Nguyễn Quang Huy,,0948 175 566(),tancuongphat2707@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Và Vận Tải Ngân Hoàng,www.nganhoang.vn,"52/108D Lãnh Minh Thăng, P. 13, Q.11,TP. Hồ Chí Minh, Việt Nam",(028) 62726116,Mr. Lê Thanh Hoàng,,0968 193 819,hoangltnganhoang@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Tiếp Vận Miền Nam,www.giaonhanmiennam.com,"Tòa Nhà Lavita Charm, Đường Số 1, Phường Trường Thọ, Thành Phố Thủ Đức,TP. Hồ Chí Minh, Việt Nam",Hotline: 0984 000 818,Hotline,,0984.000.818,ndt3663@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại - Dịch Vụ - Vận Tải Quốc Tế Việt Đức,www.vietductrans.vn,"32/5A Quang Trung, P. 8, Q. Gò Vấp,TP. Hồ Chí Minh, Việt Nam",0946.767.878,Mr. Võ Thanh Quyền,,0946 767 878,vantaivietduc@gmail.com,vận tải container,,,,,,,,,
Vận Tải THY - Công Ty TNHH Vận Tải THY,www.vantaithy.com.vn,"Tầng 3, Tòa Nhà An Phú Plaza, 117 - 119 Lý Chính Thắng, P. Võ Thị Sáu, Q. 3,TP. Hồ Chí Minh, Việt Nam",931818365,Bùi Văn Tiệp,,0931 818 365(),ceo@vantaithy.com.vn,vận tải container,,,,,,,,,
VHG Logistics - Công Ty TNHH Tiếp Vận VHG,www.vhglogistics.com,"Số 46 Đường Bạch Đằng, P. 2, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",088 9222 284,Hotline,Giám Đốc,088 9222 284(),vhglogistics@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Vận Tải Hoàn Thiện,,"14B-Tổ 7, Cư Xá Điện Lực, Đường số 1, Khu Phố 6, Phường Trường Thọ, Quận Thủ Đức,TP. Hồ Chí Minh, Việt Nam",903617322,Bà Nguyễn Thị Nhân,Kinh doanh,,hoanthiencongty@yahoo.com.vn,vận tải container,,,,,,,,,
Công Ty TNHH Dịch Vụ Cơ Khí Thanh Giang,,"20/10 Đinh Bộ Lĩnh, P. 24, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 37228677,Ông Lê Minh Khánh,,0983.913.779,thanhgiangcontainer@gmail.com,vận tải container,,,,,,,,,
Vận Tải Kim Phú - Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Kim Phú,www.kimphutrans.com,"20/1C Quốc Lộ 1A, Khu Phố 4, Phường An Phú Đông, Quận 12,TP. Hồ Chí Minh, Việt Nam",0785 102 783,Mr. Tô Minh Phú,,0973 232 787(),vantaikimphu@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Phúc Lộc Phát,,"256/102A Phan Huy ích, P. 12, Q. Gò Vấp,TP. Hồ Chí Minh, Việt Nam",(028) 38315621,Ông Nguyễn Đình Phúc,Giám Đốc,0918 195 848,phuclocphat@vnn.vn,vận tải container,,,,,,,,,
Công ty Cổ phần giao nhận Vĩnh Tường,www.vtlogistics.vn,"Số 9 Nguyễn Văn Tạo, Huyện Nhà Bè,TP. Hồ Chí Minh, Việt Nam",974222444,Ông Hồ Minh Quân,P. Giám đốc,0903 138 555,hominhquan@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Vận Tải MCC,www.mcc.com.sg,"28 Phùng Khắc Khoan, P. Đa Kao, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 38230015,,,,exportCS.vietnam@mcc.com.sg,vận tải container,,,,,,,,,
Công Ty TNHH Vận Tải Như ý,www.vantainhuy.com,"29/16A Đường Số 5, KP.2, P.Tăng Nhơn Phú B, Q.9,TP. Hồ Chí Minh, Việt Nam",(028) 6263481,Ông Nguyễn Anh Kiệt,Phó Giám Đốc,0938 645 626,kiet.vantainhuy@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Đầu Tư Phát Triển Thương Mại Vận Tải Hải Long,www.hailonglogistics.vn,"12/2A Lê Văn Việt, P. Tăng Nhơn Phú A, Q. 9,TP. Hồ Chí Minh, Việt Nam",933396296,Mr. Phạm Hùng Cường,,0933 396 296,transport@hailonglogistics.vn,vận tải container,,,,,,,,,
Công Ty Cổ Phần Đầu Tư Thương Mại CARGONOW,www.cargonow.vn,"A.7.03 Tầng 7, Block A, Tòa nhà Rivergate Residence, 151-155 Bến Vân Đồn, P. 06, Q. 4,TP. Hồ Chí Minh, Việt Nam",938360340,Mr. Cung Đức Thành,Nhân viên Marketing,986032923,office@cargonow.vn,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Toàn Thuận,,"Tầng 1, Tòa Nhà Packsimex, 52 Đông Du, Phường Bến Nghé, Quận 1,TP. Hồ Chí Minh, Việt Nam",901447717,Mr. Trương Quốc Toàn,Trưởng phòng,901447717,ctytoanthuan@gmai.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Và Giao Nhận Phúc An,,"Số 10 Nguyễn Chánh Sắt, Phường 13, Quận Tân Bình,TP. Hồ Chí Minh, Việt Nam",907724408,Bà Lê Thị Phương Trang,Giám đốc,0907 724 408,phucan235@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Vận Tải Trung Kiên,,"58/7A Ấp Thới Tây 2, X. Tân Hiệp, H. Hóc Môn,TP. Hồ Chí Minh, Việt Nam",937004439,Ông Lê Minh Cảnh,,938157980,congtydulichtrungkien@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Tuấn Hiệp,www.tuanhiepvn.com,"96/18 Khu Phố 4, Tây Hòa, P. Phước Long A, Q. 9,TP. Hồ Chí Minh, Việt Nam",(028) 37283999,,,,ctytuanhiep@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Thương Mại - Dịch Vụ - Vận Tải Ngọc Tuấn,,"15/10B, Đường 37, Khu Phố 7, P.Hiệp Bình Chánh, Quận Thủ Đức,TP. Hồ Chí Minh, Việt Nam",908338795,Bà Nguyễn Thị Tuyết Nhung,,0902 852 220,ngoctuantransco2005@yahoo.com,vận tải container,,,,,,,,,
Công Ty TNHH Vận Tải Biển Đồng Sự Thanh Niên Phương Đông,,"Số 132 Bến Vân Đồn, Phường 6, Quận 4,TP. Hồ Chí Minh, Việt Nam",913261876,Mr. Vũ Hùng,,913261876,hcm-hung@collyer.vn,vận tải container,,,,,,,,,
Công Ty TNHH Trưởng Thanh,www.truongthanhcontainer.com.vn,"39/2 Bờ Bao Tân Thắng, P. Sơn Kỳ, Q. Tân Phú,TP. Hồ Chí Minh, Việt Nam",908112250,Hotline,,0908 280 555,hcns@truongthanhcontainer.com.vn,vận tải container,,,,,,,,,
Vận Tải Nam Tuyến - Công Ty TNHH Dịch Vụ Giao Nhận Nam Tuyến,www.nt-logisticsvn.com,"67/29 Bùi Đình Túy, P. 12, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35161091,Ông Phạm Anh Tuấn,,0909 067 569,importhcm.ntl@gmail.com,vận tải container,,,,,,,,,
Công Ty TNHH Con Đường Vàng - CN Hồ Chí Minh,www.goldenwayvn.com,"448/9D Nguyễn Tất Thành, P. 18, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 39415181,,,,info@goldenwayvn.com,vận tải container,,,,,,,,,
Công ty TNHH TM Và Dịch vụ Tiến Thành Đạt,,"53/11C, Khu phố 7, P. Tân Thới Nhất, Q.12,TP. Hồ Chí Minh, Việt Nam",37151308,,,,lxduybk@gmail.com,vận tải container,,,,,,,,,
